name,lat,lon,2011_03,2011_04,2011_05,2011_06,2011_07,2011_08,2011_09,2011_10,2011_11,2011_12,2012_01,2012_02,2012_03
南会津町役場 伊南総合支所,37.200378,139.773911,,,,0.149,0.13241379310344828,0.11806451612903227,0.11,0.0935483870967742,0.09166666666666666,0.08693548387096774,0.11225806451612903,0.11879310344827586,0.12451612903225806
南会津町役場 南郷総合支所,37.200378,139.773911,,,,0.1371666666666667,0.12396551724137932,0.11241935483870967,0.10666666666666667,0.09032258064516129,0.09066666666666666,0.08838709677419354,0.11274193548387097,0.11637931034482758,0.12387096774193548
南会津町役場 舘岩総合支所,37.200378,139.773911,,,,0.10733333333333334,0.10189655172413793,0.0935,0.08866666666666667,0.07612903225806453,0.07783333333333334,0.07193548387096774,0.08806451612903225,0.09379310344827586,0.10290322580645161
南相馬市 役所 鹿島区役所,37.64217,140.957352,,,,,,,0.274,0.2645161290322581,0.2601666666666667,0.2630645161290323,0.2917741935483871,0.2813793103448276,0.2701612903225806
南相馬市 鹿島区 橲原公民館,37.69099,140.874115,,,,2.001333333333333,1.901290322580645,1.8251612903225807,1.7643333333333333,1.7485483870967742,1.7185,1.721774193548387,1.6670967741935483,1.6101724137931035,1.5090322580645161
南相馬市役所 鹿島区役所,37.64217,140.957352,,,,0.33116666666666666,0.3016129032258064,0.2862903225806452,,,,,,,
古殿町 役場,37.089241,140.555801,0.40392857142857147,0.21716666666666665,0.20161290322580644,0.179,0.16306451612903228,0.1564516129032258,0.151,0.15338709677419354,0.155,0.14903225806451614,0.1435483870967742,0.1356896551724138,0.13112903225806452
只見町 役場,37.348717,139.315842,0.10136363636363636,0.09327586206896551,0.09903225806451613,0.09133333333333334,0.08465517241379311,0.07822580645161291,0.07450000000000001,0.06274193548387097,0.06416666666666666,0.05758064516129032,0.07048387096774193,0.07120689655172413,0.07725806451612903
喜多方 市役所,37.651302,139.874695,0.2841666666666667,0.154,0.13193548387096773,0.12666666666666668,0.12129032258064515,0.11709677419354839,0.10966666666666666,0.10548387096774194,0.105,0.1038709677419355,0.10258064516129033,0.09,0.09838709677419354
国見町 役場,37.876781,140.549255,2.22,0.7963333333333333,0.636774193548387,0.5606666666666666,0.4914516129032258,0.4738983050847458,0.4535,0.4366129032258065,0.4225,0.3946774193548387,0.35516129032258065,0.3174137931034483,0.2980645161290323
塙町 役場,36.956879,140.409805,0.43375,0.269,0.22822580645161292,0.22549999999999998,0.20758064516129035,0.19903225806451613,0.18966666666666668,0.18838709677419355,0.18916666666666665,0.18806451612903227,0.1870967741935484,0.17310344827586208,0.17451612903225808
大玉村 役場,37.534363,140.371109,2.9330000000000003,1.0283333333333333,0.594516129032258,0.5573333333333333,0.5193548387096775,0.47758064516129034,0.44716666666666666,0.5348387096774193,0.51,0.4964516129032258,0.4388709677419355,0.371551724137931,0.3596774193548387
