name,lat,lon,2023_08_01,2023_08_02,2023_08_03,2023_08_04,2023_08_05,2023_08_06,2023_08_07,2023_08_08,2023_08_09,2023_08_10,2023_08_11,2023_08_12,2023_08_13,2023_08_14,2023_08_15,2023_08_16,2023_08_17,2023_08_18,2023_08_19,2023_08_20
p_37.110360_140.219697,37.11036,140.219697,,,,,,,,,,,,,0.11357142857142857,,,,,,,
p_37.110360_140.219698,37.11036,140.219698,,,,,,,,,,,,,0.1075,,,,,,,
p_37.110360_140.219705,37.11036,140.219705,,,,,,,,,,,,,0.09999999999999999,,,,,,,
p_37.110360_140.219707,37.11036,140.219707,,,,,,,,,,,,,0.09482142857142857,,,,,,,
p_37.110362_140.219698,37.110362,140.219698,,,,,,,,,,,,,0.09032967032967033,,,,,,,
p_37.110362_140.219700,37.110362,140.2197,,,,,,,,,,,,,0.08190476190476191,,,,,,,
p_37.110362_140.219703,37.110362,140.219703,,,,,,,,,,,,,0.14,,,,,,,
p_37.110362_140.219705,37.110362,140.219705,,,,,,,,,,,,,0.09885714285714285,,,,,,,
p_37.110362_140.219707,37.110362,140.219707,,,,,,,,,,,,,0.111156462585034,,,,,,,
p_37.110363_140.219700,37.110363,140.2197,,,,,,,,,,,,,0.11714285714285715,,,,,,,
p_37.110363_140.219702,37.110363,140.219702,,,,,,,,,,,,,0.12782608695652173,,,,,,,
p_37.110363_140.219703,37.110363,140.219703,,,,,,,,,,,,,0.13097142857142857,,,,,,,
p_37.110368_140.219708,37.110368,140.219708,,,,,,,,,,,,,0.12857142857142856,,,,,,,
p_37.110377_140.219707,37.110377,140.219707,,,,,,,,,,,,,0.14,,,,,,,
p_37.110397_140.219320,37.110397,140.21932,,,,,,,,,,,,,0.13428571428571429,,,,,,,
p_37.110415_140.219648,37.110415,140.219648,,,,,,,,,,,,,0.14,,,,,,,
p_37.110438_140.219343,37.110438,140.219343,,,,,,,,,,,,,0.13428571428571429,,,,,,,
p_37.110470_140.219453,37.11047,140.219453,,,,,,,,,,,,,0.13714285714285715,,,,,,,
p_37.110478_140.219557,37.110478,140.219557,,,,,,,,,,,,,0.14,,,,,,,
p_37.110502_140.219357,37.110502,140.219357,,,,,,,,,,,,,0.11428571428571428,,,,,,,
p_37.110523_140.215517,37.110523,140.215517,,,,,,,,,,,,,0.1,,,,,,,
